Part,Value,Device,Package,Description,Description2,Qty,Place_YES/NO,Povided_by_customer_YES/NO,Distributor,Ordernumber,Weblink,Remarks_customer,Unit_price,Total_price,REMARKS_BETA,OPTION1,OPTION2,OPTION3
BAT,CR2032,CR2032,HAR-S8421,CR2032 Battery Holder, ,1,yes,no,Digikey,952-1737-1-ND,http://www.digikey.de/scripts/DKSearch/dksus.dll?Detail&itemSeq=119976446&uq=634847035775684144, , , , , , , 
"C1, C2",22p,C-EUC0603,C0603,"CAPACITOR, European symbol", ,2,no,no,, , , , , , , , , 
C3,100n,C-EUC0603K,C0603K,"CAPACITOR, European symbol", ,1,yes,no,Beta,6242480,http://de.rs-online.com/web/search/searchBrowseAction.html?method=searchProducts&searchTerm=6242480, , , , , , , 
C4,100p,C-EUC0603,C0603,"CAPACITOR, European symbol", ,1,no,no,, , , , , , , , , 
C5,10u,CPOL-EUC/6032-28R,C/6032-28R,"POLARIZED CAPACITOR, European symbol","Tantalkondensator, 6032-28, 25V, 10µF",1,yes,no,Beta,4649306P,http://uk.rs-online.com/web/search/searchBrowseAction.html?method=searchProducts&searchTerm=4649306P&x=0&y=0, , , , , , , 
JP1, ,JP1E,JP1,JUMPER, ,1,no,no,, , , , , , , , , 
PWR,2.1MMJACKTHM,2.1MMJACKTHM,PJ-102A,2.1mm x 5.5mm THM DC jack with internal switch, ,1,yes,no,Digikey,CP-202A-ND,http://www.digikey.de/scripts/DKSearch/dksus.dll?Detail&itemSeq=119976434&uq=634847035775684144, , , , , , , 
Q1,32.768kHz,CRYSTALMM20SS,MM20SS,CRYSTAL, ,1,yes,no,Digikey,631-1000-1-ND,http://www.digikey.de/scripts/DKSearch/dksus.dll?Detail&itemSeq=119976445&uq=634847035775684144, , , , , , , 
R1,1k,R-EU_R0603,R0603,"RESISTOR, European symbol","RESISTOR, 0.1W, 1%",1,yes,no,Beta,6979246,http://uk.rs-online.com/web/search/searchBrowseAction.html?method=getProduct&R=6979246, , , , , , , 
"R2, R3",2k2,R-EU_R0603,R0603,"RESISTOR, European symbol","RESISTOR, 0.1W, 1%",2,yes,no,Beta,6979270,http://uk.rs-online.com/web/search/searchBrowseAction.html?method=getProduct&R=6979270, , , , , , , 
R4,10k,R-EU_R0603,R0603,"RESISTOR, European symbol","RESISTOR, 0.1W, 1%",1,yes,no,Beta,6979325,http://uk.rs-online.com/web/search/searchBrowseAction.html?method=getProduct&R=6979325, , , , , , , 
"R5, R6, R7, R8",0R,R-EU_R0603,R0603,"RESISTOR, European symbol", ,4,no,no,, , , , , , , , , 
RTC,MCP7940N,MCP7940N,SO08,Microchip MCP7940N RTC, ,1,yes,no,Digikey,MCP7940N-I/SN-ND,http://www.digikey.de/scripts/DKSearch/dksus.dll?Detail&itemSeq=119976456&uq=634847035775684144, , , , , , , 
X1,,2516-,PAK100/2500-16,2x8 Wannensteckverbinder, ,1,yes,no,Digikey,S9171-ND,http://www.digikey.de/scripts/DKSearch/dksus.dll?Detail&itemSeq=119976334&uq=634847035775684144, , , , , , , 
NOT ON BOARD,5V 2A,,,DC Power Supply,,1,no,,Digikey,T1150-P5P-ND,http://www.digikey.de/scripts/DKSearch/dksus.dll?Detail&itemSeq=119976439&uq=634847035775684144,,,,,,,
