Ref,Value,Beschreibung,Qty,Place_YES/NO,Distributor,Teilenummer
BESTÜCKUNG FÜR ROTES DISPLAY:,,,,,,
AFF4..AFF13,,7 Segment Rot SA08-11EWA,10 (ROT),yes,Distrelec,661208
AFF1..AFF3,,16 Segment Rot PSA08-11EWA,3 (ROT),yes,Distrelec,661280
D1...D4,,LED 3MM RED 6.3MCD GAASP ON GAP Rot,4 (ROT),yes,Digikey,751-1129-ND
BESTÜCKUNG FÜR GRÜNES DISPLAY:,,,,,,
AFF4..AFF13,,7 Segment Grün SA08-11GWA,10 (GRÜN),yes,Distrelec,661210
AFF1..AFF3,,16 Segment Grün PSA08-11GWA,3 (GRÜN),yes,Distrelec,661282
D1...D4,,LED 3MM GREEN 6.3MCD GAP ON GAP Grün,4 (GRÜN),yes,Digikey,751-1101-ND
BESTÜCKUNG FÜR GELBES DISPLAY:,,,,,,
AFF4..AFF13,,7 Segment Gelb SA08-11YWA,10 (GELB),yes,Distrelec,661212
AFF1..AFF3,,16 Segment Gelb PSA08-11YWA,3 (GELB),yes,Distrelec,661284
D1...D4,,LED 3MM YLW 6.3MCD GAASP ON GAP Gelb,4 (GELB),yes,Digikey,751-1144-ND
GEMEINSAME BESTÜCKUNG FÜR ALLE DISPLAYS:,,,,,,
U1,,TI TLC59282DBQR,1,yes,Digikey,296-28098-1-ND
"P1, P2",,CONN HEADER 2.54MM 16POS GOLD,2,yes,Digikey,S9171-ND
U2,,SN74HC164DR IC SHIFT REGISTER 8BIT 14-SOIC,1,yes,Digikey,296-14838-1-ND
Q1...Q8,,IRLML6401PBFCT-ND P-MOS FET,8,yes,Digikey,IRLML6401PBFDKR-ND
R1,1K2 1%,RES 1.20K OHM 1/10W 1% 0603 SMD,1,yes,Digikey,311-1.20KHRCT-ND
"R2, R3, R4, R5",,"Platzhalter für evtl. notwendige Termination, nicht bestücken!",4,no,,
RV1,5K 20%,TRIMMER 5K OHM 0.25W SMD,1,yes,Digikey,ST4ETA502CT-ND
"C1, C2",47uF,"Tantalkondensator, 6032-28, 16V, 47µF",2,yes,Beta,4648016P
"C3, C4",100n,CAP CER 0.1UF 16V 10% X7R 0603,2,yes,Digikey,478-1239-1-ND
